 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -4582.31623   -4410.21658     172.09965        7.10623   -4399.46441     957.67165
        20.0000    -4580.38734   -4407.97770     172.40964        7.01362   -4411.13630     938.57561
        30.0000    -4588.25695   -4413.20569     175.05126        6.98757   -4414.42044     939.01287
        40.0000    -4572.44382   -4405.91101     166.53282        7.01582   -4410.85968     941.18890
        50.0000    -4580.39392   -4401.78739     178.60653        7.04521   -4407.15541     948.71461
        60.0000    -4574.91221   -4396.80229     178.10993        7.09168   -4401.29760     961.23225
        70.0000    -4573.03585   -4393.66949     179.36636        7.10898   -4399.11758     963.51628
        80.0000    -4574.22871   -4394.37024     179.85847        7.12695   -4396.85287     963.19310
        90.0000    -4592.32396   -4419.90204     172.42192        7.02814   -4409.30665     947.14394
       100.0000    -4574.57684   -4400.67576     173.90109        7.04718   -4406.90661     950.45998
       110.0000    -4580.99786   -4403.42916     177.56870        7.07352   -4403.58739     954.72535
       120.0000    -4590.46037   -4410.23326     180.22711        7.04327   -4407.39903     945.26944
       130.0000    -4584.29879   -4410.76923     173.52956        7.01137   -4411.42059     941.89103
       140.0000    -4575.74090   -4396.51373     179.22717        7.04239   -4407.51040     950.32661
       150.0000    -4579.73510   -4406.98755     172.74755        7.04835   -4406.75996     951.16985
       160.0000    -4575.28710   -4401.31357     173.97352        7.09537   -4400.83243     961.10726
       170.0000    -4573.33808   -4397.47418     175.86390        7.08535   -4402.09573     957.12693
       180.0000    -4578.76749   -4397.72097     181.04651        7.10704   -4399.36151     961.47976
       190.0000    -4589.10829   -4414.86731     174.24098        7.06302   -4404.90976     956.46242
       200.0000    -4572.58213   -4399.01290     173.56924        7.05395   -4406.05410     950.27988
       210.0000    -4576.94274   -4396.90211     180.04063        7.10221   -4399.97152     956.44146
       220.0000    -4575.16977   -4395.95196     179.21781        7.08229   -4402.48113     961.54382
       230.0000    -4582.91930   -4409.32197     173.59733        7.09995   -4400.25598     966.82077
       240.0000    -4588.34797   -4413.72141     174.62657        7.01111   -4411.45306     937.37978
       250.0000    -4579.32302   -4408.49049     170.83253        7.03915   -4407.91839     954.30284
       260.0000    -4581.42423   -4407.76371     173.66052        7.02358   -4409.88082     943.61253
       270.0000    -4578.13634   -4403.12668     175.00966        7.04173   -4407.59376     948.41332
       280.0000    -4580.92712   -4414.48667     166.44046        7.04978   -4406.57859     945.27423
       290.0000    -4589.20952   -4413.48312     175.72641        7.00391   -4412.36041     940.25028
       300.0000    -4579.37712   -4409.16416     170.21296        7.00835   -4411.80101     935.08317
       310.0000    -4577.92254   -4397.92752     179.99502        7.08384   -4402.28610     955.93612
       320.0000    -4581.86751   -4401.59715     180.27036        7.03790   -4408.07632     945.73935
       330.0000    -4581.24968   -4405.62755     175.62214        7.08689   -4401.90223     959.70527
       340.0000    -4583.18380   -4414.71215     168.47166        7.02087   -4410.22233     943.47603
       350.0000    -4588.21377   -4412.60101     175.61276        7.02546   -4409.64402     941.92717
       360.0000    -4592.79981   -4422.63903     170.16078        6.93371   -4421.20798     924.99580
       370.0000    -4583.32261   -4416.21881     167.10380        6.96322   -4417.48893     932.35147
       380.0000    -4591.66346   -4420.64096     171.02250        6.96919   -4416.73669     929.39522
       390.0000    -4576.65208   -4402.65419     173.99790        7.03169   -4408.85978     942.17818
       400.0000    -4569.38531   -4391.11393     178.27138        7.14699   -4394.32689     967.76888
       410.0000    -4584.97688   -4408.85277     176.12411        7.10839   -4399.19206     961.35171
       420.0000    -4577.81397   -4401.45038     176.36359        7.04617   -4407.03389     952.45126
       430.0000    -4575.51246   -4405.79230     169.72016        7.05786   -4405.56128     950.78413
       440.0000    -4580.50081   -4401.05295     179.44785        7.03248   -4408.75900     945.03234
       450.0000    -4579.04908   -4403.11983     175.92925        7.06264   -4404.95838     954.09558
       460.0000    -4581.55295   -4405.33863     176.21432        7.03622   -4408.28823     942.79769
       470.0000    -4583.34765   -4409.59585     173.75180        7.07096   -4403.91023     951.10351
       480.0000    -4586.56397   -4417.66245     168.90152        7.01353   -4411.14784     943.57726
       490.0000    -4584.24049   -4411.83170     172.40880        7.02281   -4409.97820     943.80770
       500.0000    -4575.94854   -4406.27041     169.67813        7.07765   -4403.06651     964.55342
       510.0000    -4578.88164   -4405.46907     173.41257        7.05490   -4405.93403     949.71623
       520.0000    -4574.61816   -4402.02567     172.59250        7.10250   -4399.93410     962.83395
       530.0000    -4568.60386   -4397.80169     170.80217        7.10539   -4399.56983     960.80050
       540.0000    -4581.83609   -4402.79312     179.04297        7.10304   -4399.86569     959.92786
       550.0000    -4582.49845   -4415.26252     167.23593        7.05411   -4406.03328     943.62210
       560.0000    -4581.72772   -4408.55353     173.17418        7.03564   -4408.36181     948.48526
       570.0000    -4574.51012   -4394.21451     180.29561        7.07051   -4403.96671     956.32198
       580.0000    -4578.25030   -4399.58526     178.66504        7.09172   -4401.29349     957.63866
       590.0000    -4576.58271   -4403.68421     172.89851        7.11023   -4398.96029     968.66555
       600.0000    -4576.37339   -4402.35321     174.02019        7.06939   -4404.10757     955.72291
       610.0000    -4577.37162   -4406.02862     171.34300        7.06778   -4404.31047     952.95220
       620.0000    -4577.18434   -4400.75581     176.42853        7.07523   -4403.37111     955.97208
       630.0000    -4580.38881   -4402.34934     178.03947        7.06481   -4404.68495     951.56387
       640.0000    -4575.05700   -4397.30722     177.74978        7.11254   -4398.66904     962.12914
       650.0000    -4584.83280   -4406.95926     177.87353        7.07072   -4403.93988     956.97606
       660.0000    -4579.84294   -4401.97043     177.87251        7.10420   -4399.72028     958.86704
       670.0000    -4582.01228   -4405.29485     176.71744        7.09170   -4401.29575     955.34708
       680.0000    -4583.58367   -4403.94802     179.63566        7.03560   -4408.36692     952.01494
       690.0000    -4583.91643   -4403.16304     180.75339        7.07324   -4403.62266     960.89278
