 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -4793.00561   -4622.24455     170.76107        4.98455   -4614.78278     965.42641
        20.0000    -4794.28093   -4618.76704     175.51390        4.90256   -4625.11708     938.32902
        30.0000    -4793.29897   -4617.82154     175.47744        4.95240   -4618.83566     954.52241
        40.0000    -4797.90513   -4623.76907     174.13606        4.92508   -4622.27899     949.33925
        50.0000    -4793.26992   -4620.10335     173.16657        4.92060   -4622.84368     947.08335
        60.0000    -4791.86983   -4614.18909     177.68074        4.95728   -4618.22001     959.34467
        70.0000    -4795.26898   -4619.11045     176.15853        4.96059   -4617.80343     960.20766
        80.0000    -4788.46835   -4618.73466     169.73369        4.97040   -4616.56649     957.74986
        90.0000    -4800.42889   -4630.89809     169.53080        4.92418   -4622.39246     954.40201
       100.0000    -4793.26104   -4619.06151     174.19953        4.91774   -4623.20362     955.24364
       110.0000    -4802.24336   -4627.40548     174.83788        4.88568   -4627.24434     943.21568
       120.0000    -4800.64001   -4625.40363     175.23638        4.92452   -4622.34892     957.13579
       130.0000    -4799.03525   -4633.63911     165.39614        4.90728   -4624.52275     947.86668
       140.0000    -4807.71373   -4624.90502     182.80871        4.89988   -4625.45478     946.12245
       150.0000    -4793.16373   -4622.56800     170.59573        4.92401   -4622.41370     950.25583
       160.0000    -4803.41519   -4630.29657     173.11862        4.88527   -4627.29700     946.82474
       170.0000    -4796.37994   -4625.21199     171.16795        4.87364   -4628.76161     944.40913
       180.0000    -4797.03825   -4622.25188     174.78637        4.91937   -4622.99866     950.23324
       190.0000    -4800.73094   -4630.45460     170.27634        4.92162   -4622.71546     952.64911
       200.0000    -4796.42164   -4626.67763     169.74401        4.84804   -4631.98934     939.88324
       210.0000    -4799.42803   -4629.62501     169.80302        4.89173   -4626.48233     947.05185
       220.0000    -4807.42596   -4631.58874     175.83722        4.85397   -4631.24137     937.58640
       230.0000    -4803.15312   -4627.87001     175.28311        4.88272   -4627.61716     946.02960
       240.0000    -4798.59110   -4622.19458     176.39652        4.87011   -4629.20658     940.14940
       250.0000    -4799.12616   -4622.62398     176.50218        4.96292   -4617.51003     961.31502
       260.0000    -4796.72833   -4622.86368     173.86466        4.89373   -4626.23005     946.05976
       270.0000    -4792.53435   -4615.81590     176.71845        4.94548   -4619.70700     958.44358
       280.0000    -4798.31728   -4614.96810     183.34918        4.98005   -4615.34991     961.11613
       290.0000    -4787.05421   -4616.69559     170.35862        4.95972   -4617.91273     966.43422
       300.0000    -4793.68218   -4614.23669     179.44549        4.94387   -4619.91049     956.32822
