 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
       100.0000    -5862.75817   -5756.46736     106.29082        4.01823   -5745.41646     598.61266
       200.0000    -5860.13873   -5754.56925     105.56948        3.96759   -5751.79983     602.33110
       300.0000    -5870.07985   -5761.07607     109.00378        3.91418   -5758.53155     598.92069
       400.0000    -5877.33030   -5771.62449     105.70581        3.90451   -5759.75005     602.37800
       500.0000    -5875.41050   -5766.91908     108.49141        3.87837   -5763.04523     598.03307
       600.0000    -5870.15830   -5754.63970     115.51860        3.86134   -5765.19149     597.64225
       700.0000    -5871.58440   -5760.17570     111.40870        3.87091   -5763.98559     603.63882
       800.0000    -5878.77704   -5768.50391     110.27313        3.86661   -5764.52654     604.49219
       900.0000    -5876.99770   -5763.00825     113.98945        3.84367   -5767.41847     603.85009
      1000.0000    -5879.36391   -5768.96869     110.39522        3.82783   -5769.41497     599.30945
      1100.0000    -5878.64238   -5771.59551     107.04687        3.83130   -5768.97724     600.68517
      1200.0000    -5882.96926   -5775.77210     107.19716        3.82936   -5769.22216     601.37558
      1300.0000    -5881.18161   -5770.96039     110.22122        3.83301   -5768.76220     601.22976
      1400.0000    -5885.90700   -5775.02797     110.87903        3.81600   -5770.90646     598.67775
      1500.0000    -5880.08158   -5772.76741     107.31417        3.81019   -5771.63823     597.33717
      1600.0000    -5879.85779   -5773.28232     106.57547        3.80362   -5772.46584     594.33026
      1700.0000    -5880.69230   -5770.10205     110.59024        3.79983   -5772.94430     597.08184
      1800.0000    -5882.25787   -5766.40913     115.84875        3.81404   -5771.15285     601.13033
      1900.0000    -5882.88274   -5771.04816     111.83458        3.81968   -5770.44237     602.74171
      2000.0000    -5884.66636   -5769.47222     115.19413        3.78617   -5774.66558     595.06508
      2100.0000    -5880.39731   -5769.97873     110.41858        3.80996   -5771.66702     601.54110
      2200.0000    -5884.74579   -5772.07312     112.67267        3.79543   -5773.49893     597.69457
      2300.0000    -5885.98340   -5774.34488     111.63852        3.79269   -5773.84414     599.19475
      2400.0000    -5889.12099   -5779.26101     109.85999        3.78749   -5774.49969     602.37101
      2500.0000    -5882.99110   -5778.17806     104.81304        3.78174   -5775.22387     598.60318
      2600.0000    -5881.35249   -5771.94853     109.40396        3.79586   -5773.44424     602.35359
      2700.0000    -5881.52020   -5771.64229     109.87791        3.79082   -5774.07897     600.58097
      2800.0000    -5884.80318   -5782.71612     102.08706        3.78506   -5774.80530     601.19121
      2900.0000    -5887.11608   -5775.71156     111.40451        3.77848   -5775.63538     601.79721
      3000.0000    -5883.22298   -5775.83226     107.39072        3.77962   -5775.49093     598.77337
      3100.0000    -5884.36347   -5773.51383     110.84964        3.77770   -5775.73371     597.85829
      3200.0000    -5884.31105   -5775.80664     108.50441        3.77917   -5775.54770     598.59716
      3300.0000    -5882.80255   -5773.13586     109.66670        3.78150   -5775.25400     600.82445
      3400.0000    -5888.05968   -5780.14319     107.91649        3.76668   -5777.12174     597.15222
      3500.0000    -5887.14458   -5775.14164     112.00294        3.76868   -5776.87051     597.76701
      3600.0000    -5887.97099   -5779.00329     108.96770        3.77733   -5775.78008     599.66317
      3700.0000    -5889.91648   -5779.33570     110.58078        3.78230   -5775.15285     600.88440
      3800.0000    -5882.31957   -5773.20039     109.11918        3.77641   -5775.89596     599.56810
      3900.0000    -5889.63539   -5779.58236     110.05303        3.78176   -5775.22133     600.12822
      4000.0000    -5884.17757   -5775.26297     108.91461        3.75457   -5778.64790     594.34804
      4100.0000    -5886.35952   -5773.50576     112.85376        3.78056   -5775.37327     601.44581
      4200.0000    -5890.48360   -5779.12024     111.36336        3.77537   -5776.02637     602.87139
      4300.0000    -5885.88728   -5774.34142     111.54586        3.74799   -5779.47745     595.43600
      4400.0000    -5887.60882   -5779.07866     108.53017        3.76674   -5777.11467     600.21844
      4500.0000    -5888.95439   -5783.26675     105.68763        3.78072   -5775.35309     601.45042
      4600.0000    -5884.16718   -5777.63287     106.53431        3.77458   -5776.12668     599.26624
      4700.0000    -5886.89696   -5776.35778     110.53917        3.79672   -5773.33624     603.69582
      4800.0000    -5883.00936   -5772.34689     110.66247        3.77244   -5776.39556     598.92684
      4900.0000    -5883.45290   -5771.47660     111.97631        3.79630   -5773.38862     605.85845
      5000.0000    -5889.72418   -5780.69926     109.02492        3.76190   -5777.72447     595.23173
      5100.0000    -5883.79217   -5773.50975     110.28242        3.78802   -5774.43283     600.88204
      5200.0000    -5884.54215   -5775.41620     109.12595        3.78821   -5774.40864     602.08759
      5300.0000    -5882.02660   -5772.01669     110.00991        3.77958   -5775.49612     600.57912
      5400.0000    -5884.47217   -5771.25093     113.22124        3.78372   -5774.97502     605.01115
      5500.0000    -5883.96456   -5772.94164     111.02292        3.76611   -5777.19437     599.03662
      5600.0000    -5888.54014   -5781.65261     106.88753        3.76123   -5777.80924     600.06616
      5700.0000    -5883.50437   -5774.20560     109.29877        3.77520   -5776.04860     601.44116
      5800.0000    -5887.95354   -5774.00387     113.94966        3.76905   -5776.82302     599.52453
      5900.0000    -5889.39442   -5777.87118     111.52324        3.77355   -5776.25615     602.50831
      6000.0000    -5886.40863   -5776.29158     110.11705        3.76887   -5776.84633     598.87214
      6100.0000    -5885.62349   -5772.91167     112.71182        3.77954   -5775.50072     602.67050
      6200.0000    -5884.32730   -5771.39530     112.93200        3.77016   -5776.68397     601.45387
      6300.0000    -5887.53896   -5779.68087     107.85809        3.75259   -5778.89856     597.24484
      6400.0000    -5889.47690   -5781.70998     107.76692        3.74554   -5779.78598     595.45963
