 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -4036.90924   -3864.43494     172.47430        6.38793   -3862.39209     955.69976
        20.0000    -4034.98278   -3864.68200     170.30079        6.36510   -3865.26926     952.21738
        30.0000    -4041.14922   -3868.54761     172.60161        6.31971   -3870.98993     937.89526
        40.0000    -4041.22364   -3860.74851     180.47513        6.37301   -3864.27298     958.52073
        50.0000    -4041.42357   -3865.74578     175.67780        6.37967   -3863.43349     960.94047
        60.0000    -4037.81788   -3860.56669     177.25120        6.33436   -3869.14377     946.66729
        70.0000    -4035.34399   -3860.56950     174.77449        6.40854   -3859.79377     962.66107
        80.0000    -4034.30504   -3861.95151     172.35353        6.39375   -3861.65804     959.56178
        90.0000    -4044.82717   -3868.64618     176.18099        6.37504   -3864.01603     947.87748
       100.0000    -4035.82244   -3861.20861     174.61383        6.38294   -3863.02074     955.81255
       110.0000    -4047.88087   -3870.12207     177.75881        6.33063   -3869.61355     944.96231
       120.0000    -4051.23406   -3882.19325     169.04081        6.26261   -3878.18718     938.01656
       130.0000    -4053.94652   -3878.57088     175.37565        6.26643   -3877.70588     929.59879
       140.0000    -4043.01137   -3865.23964     177.77172        6.31908   -3871.06950     942.00202
       150.0000    -4042.70605   -3865.96103     176.74502        6.34966   -3867.21504     954.04218
       160.0000    -4037.62842   -3865.22335     172.40508        6.39436   -3861.58210     963.44547
       170.0000    -4034.36546   -3855.37675     178.98872        6.35126   -3867.01425     950.68565
       180.0000    -4037.14084   -3862.79961     174.34123        6.40481   -3860.26461     962.65474
       190.0000    -4033.12352   -3861.35285     171.77067        6.41144   -3859.42886     952.60583
       200.0000    -4045.51262   -3870.83925     174.67337        6.41270   -3859.27052     963.05517
       210.0000    -4033.25579   -3852.09236     181.16343        6.39883   -3861.01793     959.34694
       220.0000    -4031.92503   -3859.04657     172.87846        6.40517   -3860.21857     953.61225
       230.0000    -4035.95421   -3863.98158     171.97263        6.39940   -3860.94577     956.29282
       240.0000    -4048.58087   -3872.23815     176.34272        6.31763   -3871.25296     938.62719
       250.0000    -4041.52048   -3870.56896     170.95152        6.36101   -3865.78505     944.82531
       260.0000    -4032.74437   -3859.10203     173.64234        6.36673   -3865.06337     937.53099
       270.0000    -4040.99780   -3863.78777     177.21002        6.38613   -3862.61822     955.13538
       280.0000    -4043.19757   -3869.44198     173.75559        6.33550   -3868.99994     945.37595
       290.0000    -4034.17884   -3862.61233     171.56651        6.35615   -3866.39704     945.19583
       300.0000    -4046.07615   -3867.87510     178.20105        6.40167   -3860.66032     955.81822
       310.0000    -4037.18028   -3861.44800     175.73228        6.39218   -3861.85676     955.92545
       320.0000    -4035.38413   -3859.33987     176.04426        6.36615   -3865.13732     947.14595
       330.0000    -4037.17121   -3861.78672     175.38449        6.40330   -3860.45509     957.23005
       340.0000    -4046.56081   -3870.56255     175.99826        6.39109   -3861.99326     948.38795
       350.0000    -4038.73183   -3866.81598     171.91585        6.37812   -3863.62791     947.22975
       360.0000    -4036.64259   -3866.49380     170.14880        6.31751   -3871.26721     938.61224
       370.0000    -4038.75194   -3867.73703     171.01490        6.35473   -3866.57673     944.45881
       380.0000    -4052.67972   -3874.37289     178.30683        6.29509   -3874.09362     933.35109
       390.0000    -4039.05091   -3859.44247     179.60844        6.33995   -3868.43868     944.32943
       400.0000    -4030.71276   -3850.37911     180.33365        6.42886   -3857.23268     969.49309
       410.0000    -4043.36917   -3865.56354     177.80563        6.40788   -3859.87791     961.39885
       420.0000    -4033.55973   -3855.37537     178.18436        6.39775   -3861.15444     968.80721
       430.0000    -4039.13761   -3863.76037     175.37724        6.35887   -3866.05464     953.30099
       440.0000    -4035.01299   -3859.59050     175.42249        6.37679   -3863.79588     959.32778
       450.0000    -4039.12180   -3860.35232     178.76949        6.38288   -3863.02847     959.99429
       460.0000    -4038.36399   -3864.47091     173.89308        6.34267   -3868.09591     949.75368
       470.0000    -4047.96645   -3870.27002     177.69643        6.32226   -3870.66826     943.80544
       480.0000    -4042.08959   -3872.98392     169.10567        6.31805   -3871.19937     939.35419
       490.0000    -4044.22979   -3863.69106     180.53873        6.34367   -3867.97045     948.93987
       500.0000    -4033.09024   -3857.71566     175.37458        6.44109   -3855.69156     972.47323
       510.0000    -4032.77395   -3858.16127     174.61268        6.40779   -3859.88875     965.06611
       520.0000    -4041.55040   -3866.93871     174.61169        6.40354   -3860.42460     958.45730
       530.0000    -4040.75341   -3864.68985     176.06356        6.36927   -3864.74357     954.69153
       540.0000    -4045.46094   -3872.71898     172.74196        6.32866   -3869.86260     943.65234
       550.0000    -4046.63239   -3873.39772     173.23467        6.29623   -3873.94991     935.35618
       560.0000    -4041.39585   -3865.93880     175.45706        6.35210   -3866.90759     941.78617
       570.0000    -4034.94136   -3855.15924     179.78212        6.40383   -3860.38841     958.19174
       580.0000    -4026.19036   -3845.47998     180.71038        6.45788   -3853.57568     970.73490
       590.0000    -4034.19256   -3862.36514     171.82743        6.46707   -3852.41761     969.58381
       600.0000    -4040.51187   -3863.89715     176.61472        6.39676   -3861.27914     957.39678
       610.0000    -4040.68224   -3865.12132     175.56092        6.39146   -3861.94697     953.28707
       620.0000    -4042.03906   -3871.74568     170.29338        6.34665   -3867.59433     948.33388
       630.0000    -4045.38844   -3875.37494     170.01350        6.32481   -3870.34790     940.41641
       640.0000    -4038.79026   -3868.01196     170.77829        6.31012   -3872.19919     935.23708
       650.0000    -4044.39130   -3874.46202     169.92928        6.32359   -3870.50126     939.93301
       660.0000    -4043.04988   -3866.72339     176.32649        6.33444   -3869.13429     945.29095
       670.0000    -4043.37082   -3870.53653     172.83428        6.37891   -3863.52896     950.75394
       680.0000    -4038.44115   -3866.64311     171.79804        6.36143   -3865.73191     940.73538
       690.0000    -4029.77190   -3856.91291     172.85899        6.40929   -3859.69923     959.53984
       700.0000    -4038.03866   -3862.73691     175.30176        6.39468   -3861.54062     955.10773
       710.0000    -4031.10864   -3857.38026     173.72838        6.44081   -3855.72656     963.38504
       720.0000    -4041.44385   -3863.75680     177.68705        6.34601   -3867.67538     936.12714
       730.0000    -4042.19803   -3866.87106     175.32697        6.38989   -3862.14426     947.99169
       740.0000    -4041.95002   -3867.80614     174.14388        6.33389   -3869.20357     942.95166
       750.0000    -4044.62311   -3873.93033     170.69278        6.30438   -3872.92302     937.90741
       760.0000    -4028.94862   -3854.63158     174.31704        6.36246   -3865.60197     941.52903
       770.0000    -4034.52339   -3860.39294     174.13045        6.43659   -3856.25853     967.58550
       780.0000    -4034.45217   -3865.40377     169.04840        6.37352   -3864.20762     955.12752
       790.0000    -4046.04829   -3871.58790     174.46039        6.33053   -3869.62600     941.80070
       800.0000    -4033.04987   -3857.85434     175.19553        6.38549   -3862.69953     949.61765
       810.0000    -4031.49974   -3853.63977     177.85998        6.44837   -3854.77375     970.25810
       820.0000    -4034.92791   -3852.23356     182.69434        6.45490   -3853.95153     968.45942
       830.0000    -4038.01802   -3866.34966     171.66836        6.35648   -3866.35621     942.81979
       840.0000    -4050.40936   -3876.99973     173.40963        6.34981   -3867.19680     948.28918
       850.0000    -4047.53394   -3877.25015     170.28379        6.27494   -3876.63257     932.48492
       860.0000    -4044.00846   -3866.64247     177.36599        6.25691   -3878.90572     922.96787
       870.0000    -4047.63889   -3870.94302     176.69587        6.33136   -3869.52144     935.33181
       880.0000    -4037.29014   -3865.12941     172.16073        6.36272   -3865.56892     945.88980
       890.0000    -4029.54897   -3856.15599     173.39298        6.40709   -3859.97653     954.66786
       900.0000    -4034.68819   -3862.13958     172.54861        6.39763   -3861.16982     954.72520
       910.0000    -4033.59692   -3860.02964     173.56728        6.43434   -3856.54233     964.93618
       920.0000    -4041.10824   -3868.33510     172.77314        6.39011   -3862.11702     951.36841
       930.0000    -4041.95572   -3867.87549     174.08022        6.34898   -3867.30173     945.89986
       940.0000    -4034.90978   -3854.88232     180.02746        6.42864   -3857.26149     964.94859
       950.0000    -4039.04447   -3872.21070     166.83377        6.38762   -3862.43160     956.90895
       960.0000    -4046.08874   -3872.97688     173.11186        6.29239   -3874.43345     937.12133
       970.0000    -4031.24491   -3859.83700     171.40790        6.36758   -3864.95653     945.29378
       980.0000    -4032.53531   -3862.81304     169.72226        6.36422   -3865.38031     944.23601
       990.0000    -4044.03314   -3866.48504     177.54810        6.38916   -3862.23632     948.81710
      1000.0000    -4041.40394   -3866.59023     174.81371        6.29784   -3873.74670     936.68909
      1010.0000    -4051.05343   -3885.95609     165.09734        6.27279   -3876.90388     932.70565
      1020.0000    -4053.43126   -3887.97022     165.46104        6.20154   -3885.88400     908.51704
      1030.0000    -4060.10031   -3896.68341     163.41691        6.16766   -3890.15497     908.15219
      1040.0000    -4056.14607   -3893.60688     162.53919        6.13561   -3894.19383     892.47850
      1050.0000    -4053.26088   -3890.12053     163.14035        6.14448   -3893.07606     902.56209
      1060.0000    -4053.90786   -3881.59000     172.31786        6.20025   -3886.04693     915.11349
      1070.0000    -4047.37056   -3876.92726     170.44330        6.22198   -3883.30748     920.00766
      1080.0000    -4060.68419   -3900.16008     160.52411        6.16624   -3890.33324     907.70136
      1090.0000    -4066.57627   -3898.18482     168.39144        6.11356   -3896.97267     892.19623
