 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -5737.99601   -5560.56786     177.42815       -1.16756   -5561.50740     957.37618
        20.0000    -5745.57461   -5572.54761     173.02700       -1.22525   -5568.77914     949.03257
        30.0000    -5746.13891   -5568.75113     177.38778       -1.24614   -5571.41208     941.42657
        40.0000    -5740.65986   -5570.76410     169.89577       -1.20527   -5566.26070     953.04544
        50.0000    -5735.17050   -5556.63039     178.54012       -1.17266   -5562.15055     951.64778
        60.0000    -5729.66390   -5561.71164     167.95227       -1.15117   -5559.44252     957.19859
        70.0000    -5741.29711   -5568.34338     172.95373       -1.20965   -5566.81242     946.31574
        80.0000    -5742.88101   -5570.28269     172.59832       -1.25604   -5572.65927     942.83189
        90.0000    -5744.92822   -5573.48432     171.44390       -1.23644   -5570.18943     942.92239
       100.0000    -5735.62862   -5561.33524     174.29338       -1.19392   -5564.82969     951.53669
       110.0000    -5734.78357   -5561.86978     172.91379       -1.14757   -5558.98870     967.30757
       120.0000    -5741.92331   -5568.57922     173.34409       -1.15466   -5559.88166     962.44557
       130.0000    -5744.12865   -5565.11365     179.01499       -1.20790   -5566.59223     950.49244
       140.0000    -5737.98330   -5565.36051     172.62279       -1.23468   -5569.96783     951.80476
       150.0000    -5738.90898   -5566.05364     172.85534       -1.18136   -5563.24666     960.65138
       160.0000    -5736.38464   -5558.30843     178.07621       -1.14712   -5558.93142     960.17169
       170.0000    -5734.40448   -5564.60543     169.79905       -1.17878   -5562.92208     963.49556
       180.0000    -5735.86202   -5557.15388     178.70813       -1.16337   -5560.97980     966.63264
       190.0000    -5738.34462   -5560.51230     177.83232       -1.13936   -5557.95374     971.03910
       200.0000    -5735.28994   -5561.79665     173.49329       -1.18937   -5564.25695     948.91090
       210.0000    -5748.52254   -5575.89571     172.62684       -1.22320   -5568.52040     948.61795
       220.0000    -5742.50453   -5572.24303     170.26150       -1.28076   -5575.77547     935.30071
       230.0000    -5746.91376   -5577.86806     169.04570       -1.24513   -5571.28410     945.30635
       240.0000    -5736.34027   -5561.34766     174.99261       -1.23134   -5569.54695     949.07562
       250.0000    -5748.42052   -5568.72818     179.69233       -1.18889   -5564.19644     962.69402
       260.0000    -5748.58548   -5571.66010     176.92539       -1.29407   -5577.45288     936.42200
       270.0000    -5739.79327   -5564.41333     175.37994       -1.22370   -5568.58360     956.59115
       280.0000    -5743.31616   -5575.21979     168.09637       -1.25021   -5571.92530     941.18897
       290.0000    -5747.61917   -5571.40883     176.21034       -1.21806   -5567.87236     953.88574
       300.0000    -5731.72775   -5551.10900     180.61875       -1.18546   -5563.76451     961.12556
       310.0000    -5735.62957   -5558.74358     176.88599       -1.09487   -5552.34592     980.92442
       320.0000    -5741.72075   -5563.00853     178.71222       -1.13524   -5557.43393     968.73170
       330.0000    -5739.15503   -5560.57048     178.58455       -1.17943   -5563.00343     957.16015
       340.0000    -5735.90506   -5561.79653     174.10852       -1.16789   -5561.54953     965.67858
       350.0000    -5742.01355   -5572.52912     169.48443       -1.19634   -5565.13518     953.06272
       360.0000    -5741.54714   -5570.87500     170.67214       -1.22940   -5569.30174     945.39727
       370.0000    -5740.52007   -5565.01813     175.50195       -1.20849   -5566.66611     951.65189
       380.0000    -5739.47022   -5563.76320     175.70702       -1.17453   -5562.38578     959.77722
       390.0000    -5744.00200   -5568.83073     175.17127       -1.19330   -5564.75185     956.13515
       400.0000    -5737.58892   -5565.15322     172.43570       -1.22446   -5568.67983     951.09924
       410.0000    -5743.11029   -5571.26189     171.84840       -1.21178   -5567.08102     950.35433
       420.0000    -5743.49645   -5574.11200     169.38445       -1.23549   -5570.06908     948.79398
       430.0000    -5740.08240   -5568.86032     171.22208       -1.24717   -5571.54170     942.87982
       440.0000    -5742.94217   -5564.14144     178.80073       -1.22748   -5569.06013     946.51360
       450.0000    -5747.42181   -5574.28536     173.13644       -1.20717   -5566.49985     952.76279
       460.0000    -5751.34687   -5577.47105     173.87582       -1.23732   -5570.30045     941.41080
       470.0000    -5750.05263   -5575.80938     174.24325       -1.30423   -5578.73400     931.50740
       480.0000    -5734.97647   -5561.22867     173.74780       -1.24093   -5570.75472     948.37770
       490.0000    -5743.47543   -5565.84780     177.62764       -1.17243   -5562.12189     960.98557
       500.0000    -5739.38604   -5558.06771     181.31833       -1.16670   -5561.39973     958.34817
       510.0000    -5746.58374   -5574.74977     171.83397       -1.23921   -5570.53803     948.84135
       520.0000    -5742.65966   -5559.52226     183.13740       -1.23344   -5569.81142     951.12407
       530.0000    -5731.57981   -5559.09706     172.48276       -1.13160   -5556.97594     969.86005
       540.0000    -5728.80217   -5555.41378     173.38838       -1.11493   -5554.87500     977.02130
       550.0000    -5738.79253   -5564.60245     174.19008       -1.13377   -5557.24945     971.44367
       560.0000    -5734.12293   -5562.77122     171.35170       -1.18830   -5564.12200     952.46971
       570.0000    -5737.62601   -5561.50439     176.12162       -1.18538   -5563.75404     954.89015
       580.0000    -5740.81649   -5569.70176     171.11473       -1.19955   -5565.53976     954.71713
       590.0000    -5738.68076   -5567.92400     170.75676       -1.24232   -5570.93096     944.13437
       600.0000    -5739.67152   -5572.32501     167.34651       -1.22520   -5568.77307     948.23978
       610.0000    -5735.44926   -5566.72775     168.72150       -1.24682   -5571.49826     935.71841
       620.0000    -5744.29096   -5568.53368     175.75729       -1.21063   -5566.93698     953.21918
       630.0000    -5749.56469   -5577.69546     171.86923       -1.25703   -5572.78519     943.11766
       640.0000    -5742.71684   -5569.14931     173.56753       -1.23512   -5570.02258     949.14047
       650.0000    -5738.13802   -5567.13838     170.99963       -1.21657   -5567.68491     943.58525
       660.0000    -5738.60802   -5562.97002     175.63800       -1.20894   -5566.72318     955.69730
       670.0000    -5734.64881   -5562.43674     172.21207       -1.20305   -5565.98085     954.31150
       680.0000    -5741.72701   -5571.45867     170.26834       -1.20350   -5566.03831     950.19823
       690.0000    -5739.94656   -5564.07185     175.87471       -1.21107   -5566.99181     954.34351
       700.0000    -5734.12057   -5552.26391     181.85667       -1.12619   -5556.29308     975.17081
       710.0000    -5738.44257   -5563.13597     175.30660       -1.12425   -5556.04890     972.89938
       720.0000    -5736.62386   -5565.98911     170.63475       -1.23085   -5569.48454     943.56974
       730.0000    -5745.57932   -5577.74059     167.83873       -1.24593   -5571.38605     937.69564
       740.0000    -5743.92426   -5572.67066     171.25360       -1.26104   -5573.29011     938.05287
       750.0000    -5741.58509   -5566.70011     174.88498       -1.29543   -5577.62403     929.04493
       760.0000    -5730.44050   -5559.76785     170.67266       -1.18910   -5564.22287     950.67129
       770.0000    -5743.20702   -5571.05656     172.15046       -1.17825   -5562.85509     961.95616
       780.0000    -5743.78280   -5570.63635     173.14645       -1.26134   -5573.32749     945.50843
       790.0000    -5745.01524   -5570.87588     174.13936       -1.23782   -5570.36361     943.52177
       800.0000    -5747.40386   -5576.48045     170.92341       -1.23020   -5569.40332     955.26247
       810.0000    -5744.34092   -5570.90907     173.43185       -1.28233   -5575.97397     938.96970
