 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -5612.65730   -5548.23827      64.41902        3.06922   -5544.28897     357.49464
        20.0000    -5611.86092   -5548.20842      63.65250        3.03525   -5548.57114     347.24151
        30.0000    -5611.27814   -5548.78352      62.49462        3.03052   -5549.16655     345.65762
        40.0000    -5611.04643   -5545.94998      65.09645        3.05337   -5546.28710     353.78487
        50.0000    -5609.02818   -5544.79787      64.23031        3.04932   -5546.79742     352.78715
        60.0000    -5613.92564   -5549.17552      64.75012        3.04206   -5547.71241     350.63950
        70.0000    -5610.18077   -5544.79843      65.38234        3.05058   -5546.63810     353.09299
        80.0000    -5612.54140   -5548.60635      63.93505        3.03878   -5548.12534     349.79471
        90.0000    -5614.87403   -5553.33748      61.53655        3.02640   -5549.68675     345.72339
       100.0000    -5610.44990   -5545.97088      64.47902        3.02479   -5549.88893     344.98440
       110.0000    -5611.86574   -5547.54895      64.31679        3.04288   -5547.60963     351.27833
       120.0000    -5613.25965   -5550.86378      62.39587        3.02245   -5550.18423     344.36651
       130.0000    -5612.53603   -5549.24603      63.29000        3.03047   -5549.17291     347.32511
       140.0000    -5611.42167   -5545.97941      65.44226        3.04172   -5547.75533     350.37768
       150.0000    -5614.50289   -5549.70526      64.79763        3.04157   -5547.77378     350.55925
       160.0000    -5612.78197   -5547.49920      65.28278        3.04910   -5546.82491     352.96059
       170.0000    -5611.61533   -5545.59894      66.01639        3.04119   -5547.82265     350.60891
       180.0000    -5611.58705   -5548.00886      63.57819        3.04646   -5547.15833     352.26542
       190.0000    -5614.78913   -5550.73992      64.04921        3.03859   -5548.15026     349.20243
       200.0000    -5612.00055   -5549.04304      62.95751        3.03870   -5548.13569     349.87434
       210.0000    -5608.66925   -5542.07542      66.59383        3.04597   -5547.21961     352.11516
       220.0000    -5609.49080   -5542.91126      66.57955        3.07402   -5543.68411     361.07898
       230.0000    -5614.70144   -5549.57666      65.12477        3.04850   -5546.90030     353.33131
       240.0000    -5614.29460   -5549.64111      64.65349        3.02950   -5549.29490     346.81711
       250.0000    -5611.36911   -5546.50871      64.86040        3.04567   -5547.25708     352.23152
       260.0000    -5612.95274   -5548.51572      64.43702        3.04401   -5547.46614     351.77703
       270.0000    -5613.07406   -5546.51339      66.56068        3.04334   -5547.55077     351.70990
       280.0000    -5612.54183   -5548.51150      64.03033        3.04308   -5547.58375     351.78498
       290.0000    -5610.98250   -5547.80320      63.17929        3.04462   -5547.39004     351.92309
       300.0000    -5613.31639   -5549.11793      64.19846        3.03335   -5548.81068     348.05545
       310.0000    -5611.97553   -5546.36814      65.60739        3.03885   -5548.11650     349.93952
       320.0000    -5608.28085   -5544.50725      63.77360        3.04539   -5547.29221     352.39128
       330.0000    -5613.42132   -5547.41050      66.01082        3.06159   -5545.25144     357.56142
       340.0000    -5611.12096   -5549.76059      61.36037        3.03298   -5548.85735     348.39841
       350.0000    -5612.87424   -5550.38672      62.48752        3.02616   -5549.71675     346.28131
       360.0000    -5614.16907   -5550.71840      63.45067        3.01982   -5550.51495     344.26321
       370.0000    -5613.22366   -5548.98758      64.23608        3.03207   -5548.97123     348.13908
       380.0000    -5614.57764   -5550.62648      63.95117        3.01439   -5551.20013     341.86617
       390.0000    -5612.26843   -5548.28151      63.98692        3.02635   -5549.69198     346.69963
       400.0000    -5610.19862   -5543.35844      66.84018        3.05012   -5546.69602     353.76785
       410.0000    -5614.39517   -5547.12224      67.27293        3.05043   -5546.65769     353.63984
       420.0000    -5610.90087   -5545.33197      65.56890        3.05375   -5546.23872     355.12267
       430.0000    -5612.05715   -5547.82659      64.23056        3.03991   -5547.98336     350.61608
       440.0000    -5609.65674   -5546.69836      62.95837        3.04458   -5547.39502     352.42460
       450.0000    -5612.11424   -5545.59316      66.52108        3.03712   -5548.33558     349.84133
       460.0000    -5612.16129   -5548.70464      63.45665        3.04595   -5547.22219     352.51853
       470.0000    -5613.39987   -5549.63730      63.76257        3.02413   -5549.97215     345.58997
       480.0000    -5615.76291   -5550.38451      65.37840        3.03069   -5549.14578     347.51163
       490.0000    -5612.80234   -5550.24729      62.55505        3.03122   -5549.07863     348.09210
       500.0000    -5614.16795   -5547.55735      66.61060        3.03606   -5548.46826     349.14958
       510.0000    -5609.61843   -5548.32650      61.29193        3.03635   -5548.43171     349.25920
       520.0000    -5612.04887   -5548.12310      63.92577        3.05616   -5545.93556     355.80821
       530.0000    -5612.98036   -5548.97647      64.00389        3.03193   -5548.98966     348.09248
       540.0000    -5612.99742   -5548.17444      64.82298        3.03747   -5548.29084     350.50164
       550.0000    -5612.82083   -5550.32351      62.49733        3.03123   -5549.07782     348.01659
       560.0000    -5614.29983   -5550.37460      63.92524        3.02579   -5549.76357     347.31798
       570.0000    -5612.13451   -5544.97270      67.16180        3.04945   -5546.78127     354.70253
       580.0000    -5611.19826   -5546.19956      64.99870        3.04625   -5547.18466     353.38300
       590.0000    -5613.43422   -5550.09319      63.34103        3.04410   -5547.45493     352.92642
       600.0000    -5612.91111   -5550.19620      62.71490        3.04239   -5547.67039     352.46468
       610.0000    -5613.45045   -5547.38056      66.06989        3.04313   -5547.57742     352.76252
       620.0000    -5613.15889   -5548.70799      64.45090        3.03875   -5548.12911     351.69283
       630.0000    -5612.49961   -5550.30882      62.19079        3.04710   -5547.07777     354.14027
       640.0000    -5612.23921   -5546.65134      65.58787        3.04222   -5547.69161     352.75062
       650.0000    -5613.95727   -5551.38359      62.57368        3.03289   -5548.86864     349.72297
       660.0000    -5614.10763   -5547.99681      66.11082        3.02985   -5549.25073     348.85298
       670.0000    -5613.96614   -5549.17277      64.79338        3.04236   -5547.67516     352.40500
       680.0000    -5611.08370   -5547.26538      63.81832        3.03821   -5548.19748     351.46226
       690.0000    -5613.19824   -5548.33896      64.85929        3.04273   -5547.62847     352.83914
       700.0000    -5612.19515   -5548.42021      63.77494        3.02647   -5549.67791     347.84067
       710.0000    -5610.69901   -5546.37860      64.32041        3.03406   -5548.72070     350.12572
       720.0000    -5613.23081   -5550.47919      62.75163        3.01610   -5550.98484     344.22819
       730.0000    -5616.14578   -5553.04694      63.09884        3.02040   -5550.44186     345.57352
       740.0000    -5611.49562   -5547.08312      64.41249        3.02426   -5549.95538     346.90535
       750.0000    -5613.93541   -5552.01843      61.91698        3.02730   -5549.57268     347.83538
       760.0000    -5610.48747   -5547.00078      63.48669        3.02409   -5549.97671     346.18454
       770.0000    -5610.31892   -5546.93395      63.38497        3.03944   -5548.04222     351.91649
       780.0000    -5613.11066   -5546.93232      66.17834        3.02907   -5549.34935     348.48736
       790.0000    -5614.01559   -5550.77525      63.24034        3.02953   -5549.29164     348.57257
       800.0000    -5609.59014   -5545.24097      64.34917        3.05919   -5545.55320     358.05334
       810.0000    -5613.23762   -5549.75665      63.48097        3.05486   -5546.09941     356.95043
       820.0000    -5610.14261   -5547.12156      63.02105        3.05095   -5546.59169     355.49232
       830.0000    -5613.00102   -5548.36190      64.63913        3.03203   -5548.97678     349.45845
       840.0000    -5613.39405   -5549.89268      63.50136        3.04321   -5547.56685     352.89252
       850.0000    -5613.76207   -5551.16606      62.59600        3.02345   -5550.05820     346.72417
       860.0000    -5612.51049   -5547.35246      65.15803        3.01457   -5551.17777     343.23707
       870.0000    -5614.03519   -5552.05351      61.98168        3.03107   -5549.09750     348.51706
       880.0000    -5612.02116   -5548.11157      63.90959        3.03016   -5549.21236     348.70130
       890.0000    -5610.65903   -5547.51361      63.14542        3.03557   -5548.53043     350.40051
       900.0000    -5614.08201   -5548.93267      65.14935        3.03780   -5548.24954     350.89974
       910.0000    -5611.80456   -5549.09543      62.70912        3.03377   -5548.75707     350.02651
       920.0000    -5612.57629   -5550.37876      62.19753        3.02870   -5549.39593     347.87015
       930.0000    -5612.24391   -5546.83084      65.41306        3.03775   -5548.25617     350.81769
       940.0000    -5613.69564   -5548.55654      65.13911        3.03497   -5548.60547     350.79188
       950.0000    -5614.42795   -5551.80342      62.62453        3.02929   -5549.32175     348.42283
       960.0000    -5614.24291   -5549.25076      64.99215        3.01786   -5550.76229     345.02040
       970.0000    -5611.97510   -5549.89564      62.07947        3.02946   -5549.30098     348.23435
       980.0000    -5615.31112   -5550.16703      65.14409        3.02266   -5550.15790     346.05366
       990.0000    -5613.47418   -5551.12935      62.34482        3.03252   -5548.91469     349.85089
      1000.0000    -5613.81820   -5550.24158      63.57662        3.00960   -5551.80318     341.85516
      1010.0000    -5602.99985   -5532.66092      70.33892        3.12077   -5537.79158     377.81952
      1020.0000    -5604.00677   -5528.87978      75.12698        3.18804   -5529.31341     399.24595
      1030.0000    -5600.21927   -5527.01055      73.20872        3.19912   -5527.91668     402.77389
      1040.0000    -5599.31349   -5523.70675      75.60674        3.19987   -5527.82160     403.73366
      1050.0000    -5602.19558   -5524.96616      77.22943        3.22598   -5524.53192     411.39145
      1060.0000    -5602.42998   -5527.24981      75.18018        3.20926   -5526.63819     406.21930
      1070.0000    -5601.45041   -5526.56047      74.88994        3.19491   -5528.44730     402.39998
      1080.0000    -5599.27910   -5524.70666      74.57245        3.22147   -5525.10037     409.83420
      1090.0000    -5602.53586   -5530.05305      72.48281        3.19983   -5527.82716     402.86323
      1100.0000    -5602.90849   -5528.54299      74.36551        3.18363   -5529.86870     397.73437
      1110.0000    -5601.19891   -5528.22960      72.96931        3.20052   -5527.73991     403.26646
      1120.0000    -5601.12006   -5528.50428      72.61577        3.20551   -5527.11127     404.45800
      1130.0000    -5604.07603   -5529.15172      74.92431        3.19550   -5528.37349     401.58696
      1140.0000    -5602.23979   -5525.95755      76.28224        3.19896   -5527.93631     403.12842
