 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -4791.40717   -4717.59816      73.80901        5.01598   -4655.40725     555.96133
        20.0000    -4799.92397   -4735.11572      64.80825        4.41478   -4731.18076     370.29959
        30.0000    -4802.88397   -4738.44352      64.44045        4.36866   -4736.99468     355.72273
        40.0000    -4802.54682   -4738.76888      63.77794        4.35282   -4738.99057     350.58298
        50.0000    -4799.83165   -4735.71399      64.11766        4.36595   -4737.33603     354.84469
        60.0000    -4801.60660   -4736.43529      65.17131        4.36619   -4737.30500     354.74607
        70.0000    -4803.67723   -4740.81721      62.86002        4.36571   -4737.36672     354.71477
        80.0000    -4805.51744   -4741.06346      64.45398        4.34552   -4739.91110     348.24958
        90.0000    -4801.33277   -4738.22607      63.10670        4.36041   -4738.03474     353.11595
       100.0000    -4802.23871   -4740.13627      62.10244        4.35173   -4739.12753     349.96039
       110.0000    -4802.34017   -4737.15192      65.18825        4.35451   -4738.77740     350.97780
       120.0000    -4805.24260   -4741.60952      63.63308        4.34570   -4739.88865     348.17011
       130.0000    -4803.96619   -4738.43526      65.53093        4.36091   -4737.97150     353.08374
       140.0000    -4802.86040   -4740.50892      62.35148        4.35376   -4738.87240     350.53415
       150.0000    -4803.56013   -4741.94512      61.61501        4.33993   -4740.61578     346.31232
       160.0000    -4804.83647   -4740.99407      63.84240        4.33152   -4741.67494     343.65970
       170.0000    -4805.29170   -4741.17857      64.11313        4.33851   -4740.79472     345.68079
       180.0000    -4801.72813   -4738.70199      63.02615        4.36029   -4738.04931     353.10115
       190.0000    -4803.72178   -4739.97855      63.74323        4.34619   -4739.82582     348.43316
       200.0000    -4803.64592   -4740.03828      63.60764        4.34581   -4739.87458     348.43825
       210.0000    -4805.03429   -4742.77755      62.25674        4.32572   -4742.40656     341.73877
       220.0000    -4802.99730   -4740.50490      62.49240        4.34038   -4740.55903     346.64675
       230.0000    -4804.70700   -4739.79032      64.91667        4.36047   -4738.02620     353.10989
       240.0000    -4802.56276   -4737.20306      65.35970        4.35594   -4738.59762     351.40096
       250.0000    -4804.29915   -4741.94457      62.35459        4.35491   -4738.72754     351.19389
       260.0000    -4803.69581   -4739.53959      64.15622        4.33732   -4740.94412     345.87976
       270.0000    -4802.18205   -4734.61019      67.57187        4.36531   -4737.41660     354.55631
       280.0000    -4803.65559   -4739.92291      63.73268        4.35732   -4738.42409     352.01095
       290.0000    -4802.41648   -4738.53639      63.88009        4.35481   -4738.74040     351.01282
       300.0000    -4801.76380   -4737.62506      64.13873        4.35477   -4738.74556     351.10860
       310.0000    -4800.90897   -4734.98723      65.92174        4.37171   -4736.60993     356.75709
       320.0000    -4804.19913   -4739.70584      64.49329        4.36305   -4737.70166     353.86155
       330.0000    -4801.80682   -4737.82328      63.98354        4.36043   -4738.03117     353.19581
       340.0000    -4806.13422   -4740.01009      66.12413        4.35357   -4738.89607     350.79924
       350.0000    -4804.66871   -4742.83237      61.83633        4.34444   -4740.04634     347.83552
       360.0000    -4804.21330   -4741.67212      62.54118        4.33443   -4741.30914     344.42092
       370.0000    -4805.58423   -4741.64533      63.93889        4.33861   -4740.78188     346.12738
       380.0000    -4804.41741   -4739.85529      64.56212        4.34416   -4740.08248     347.91310
       390.0000    -4801.32210   -4736.93265      64.38945        4.35603   -4738.58676     351.63170
       400.0000    -4801.50323   -4737.91585      63.58738        4.35918   -4738.18853     352.72703
       410.0000    -4804.66706   -4739.61317      65.05389        4.35328   -4738.93332     350.51297
       420.0000    -4803.39923   -4741.82756      61.57168        4.34527   -4739.94234     348.07444
       430.0000    -4804.86025   -4739.85013      65.01012        4.35216   -4739.07347     350.45123
       440.0000    -4802.49628   -4736.26624      66.23003        4.34592   -4739.86052     348.38648
       450.0000    -4801.89358   -4737.78637      64.10721        4.36527   -4737.42157     354.72608
       460.0000    -4805.06974   -4740.69967      64.37007        4.35649   -4738.52863     351.79169
       470.0000    -4804.49350   -4741.09836      63.39514        4.34594   -4739.85845     348.14289
       480.0000    -4803.87840   -4741.40158      62.47682        4.34774   -4739.63099     349.01056
       490.0000    -4804.09336   -4738.90568      65.18768        4.35388   -4738.85707     350.95009
       500.0000    -4799.31103   -4735.46124      63.84979        4.36368   -4737.62253     354.15049
       510.0000    -4805.14938   -4740.21498      64.93441        4.35185   -4739.11337     350.19785
       520.0000    -4801.06121   -4738.28226      62.77895        4.35437   -4738.79584     351.07333
       530.0000    -4803.52977   -4739.87603      63.65373        4.35107   -4739.21085     349.97077
       540.0000    -4804.21614   -4737.29837      66.91777        4.36721   -4737.17657     355.22122
       550.0000    -4803.54577   -4739.77328      63.77250        4.35057   -4739.27379     349.68611
       560.0000    -4803.64722   -4739.48641      64.16081        4.34314   -4740.21078     347.46793
       570.0000    -4802.42791   -4739.23506      63.19286        4.35625   -4738.55806     351.77908
       580.0000    -4802.48802   -4738.04643      64.44159        4.35339   -4738.91856     350.87896
       590.0000    -4804.57109   -4740.62638      63.94472        4.34100   -4740.48067     346.70386
       600.0000    -4803.23895   -4737.17128      66.06768        4.34936   -4739.42712     349.74836
       610.0000    -4803.25241   -4739.93172      63.32069        4.34872   -4739.50756     349.06145
       620.0000    -4803.38881   -4737.99674      65.39207        4.35009   -4739.33490     349.83169
       630.0000    -4806.58574   -4741.46687      65.11887        4.35049   -4739.28429     349.89398
       640.0000    -4804.12825   -4740.66870      63.45955        4.33968   -4740.64700     346.32443
       650.0000    -4801.99419   -4738.72665      63.26753        4.34374   -4740.13480     347.54987
       660.0000    -4804.58747   -4738.05687      66.53060        4.34659   -4739.77542     348.67724
       670.0000    -4802.57561   -4735.15059      67.42502        4.35226   -4739.06109     350.34081
       680.0000    -4802.94046   -4739.90105      63.03940        4.36758   -4737.13097     355.29562
       690.0000    -4800.48805   -4736.32724      64.16081        4.34553   -4739.91000     348.41182
       700.0000    -4803.71317   -4737.62121      66.09196        4.37111   -4736.68598     356.41854
       710.0000    -4800.89068   -4737.66377      63.22692        4.36437   -4737.53491     354.36532
       720.0000    -4801.13141   -4737.23326      63.89814        4.33912   -4740.71707     346.07628
       730.0000    -4803.45028   -4740.60745      62.84283        4.33782   -4740.88103     345.85364
       740.0000    -4804.55759   -4741.11784      63.43974        4.33903   -4740.72918     346.24684
       750.0000    -4801.19282   -4739.33295      61.85986        4.33479   -4741.26285     344.60439
       760.0000    -4804.77026   -4739.53161      65.23865        4.34624   -4739.81963     348.37741
       770.0000    -4805.30317   -4743.01654      62.28663        4.34128   -4740.44578     346.93041
       780.0000    -4802.79724   -4739.40180      63.39545        4.33603   -4741.10701     345.12244
       790.0000    -4805.05889   -4740.01019      65.04870        4.33528   -4741.20121     345.12513
       800.0000    -4804.14895   -4738.93493      65.21401        4.34730   -4739.68606     348.75658
       810.0000    -4803.52706   -4741.91674      61.61032        4.33814   -4740.84045     346.09300
       820.0000    -4803.25409   -4736.64239      66.61170        4.33741   -4740.93324     345.56849
       830.0000    -4800.88982   -4739.20162      61.68820        4.36836   -4737.03158     355.54432
       840.0000    -4801.98377   -4736.72416      65.25962        4.35763   -4738.38470     352.12637
       850.0000    -4804.24974   -4740.34460      63.90515        4.36391   -4737.59309     353.90559
       860.0000    -4803.12996   -4738.51397      64.61599        4.34947   -4739.41248     349.59214
       870.0000    -4802.65596   -4739.75438      62.90158        4.35109   -4739.20831     350.00143
       880.0000    -4802.25061   -4741.39887      60.85174        4.35097   -4739.22397     349.99660
       890.0000    -4806.46730   -4743.74093      62.72636        4.34261   -4740.27743     347.19162
       900.0000    -4801.96328   -4737.21435      64.74893        4.33756   -4740.91385     345.56804
       910.0000    -4803.11512   -4737.24135      65.87376        4.37512   -4736.17973     357.50878
       920.0000    -4803.34797   -4739.73355      63.61443        4.36965   -4736.86915     356.09572
       930.0000    -4803.64307   -4740.53259      63.11048        4.33623   -4741.08163     345.25574
       940.0000    -4802.48863   -4739.73442      62.75421        4.33516   -4741.21651     344.79617
       950.0000    -4804.14448   -4741.66886      62.47562        4.34583   -4739.87200     348.47315
       960.0000    -4804.38412   -4739.65898      64.72514        4.34633   -4739.80893     348.62384
       970.0000    -4803.21223   -4739.65562      63.55660        4.34838   -4739.55090     348.99474
       980.0000    -4803.35424   -4737.72765      65.62658        4.35686   -4738.48178     352.20544
       990.0000    -4805.44948   -4743.05345      62.39604        4.34009   -4740.59553     346.34322
      1000.0000    -4802.87218   -4739.61388      63.25829        4.33052   -4741.80166     343.50120
      1010.0000    -4791.24247   -4718.01964      73.22283        4.44622   -4727.21810     380.60302
      1020.0000    -4792.98708   -4722.70502      70.28207        4.52154   -4717.72576     404.45472
      1030.0000    -4795.85585   -4724.02563      71.83022        4.51665   -4718.34205     403.00846
      1040.0000    -4794.05019   -4720.77940      73.27079        4.48348   -4722.52303     392.40080
      1050.0000    -4790.20030   -4718.36323      71.83707        4.51580   -4718.44952     402.69280
      1060.0000    -4792.47453   -4721.21780      71.25673        4.50788   -4719.44679     400.40404
