 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -4793.81295   -4622.13007     171.68288        4.99094   -4613.97820     960.38450
        20.0000    -4792.62881   -4626.99540     165.63341        4.90223   -4625.15887     955.35494
        30.0000    -4796.96921   -4623.94706     173.02215        4.88944   -4626.77061     940.53533
        40.0000    -4797.51343   -4623.67955     173.83389        4.89221   -4626.42109     944.34766
        50.0000    -4798.79440   -4623.10005     175.69434        4.88738   -4627.03038     944.73808
        60.0000    -4791.71500   -4618.12622     173.58878        4.93194   -4621.41388     947.39862
        70.0000    -4789.28909   -4611.86670     177.42239        4.99500   -4613.46634     972.64110
        80.0000    -4796.66066   -4624.11699     172.54368        4.93666   -4620.81885     954.64895
        90.0000    -4798.86603   -4628.24562     170.62041        4.88600   -4627.20431     946.49632
       100.0000    -4785.37940   -4607.85454     177.52486        4.94636   -4619.59620     956.32896
       110.0000    -4795.17274   -4616.74390     178.42884        4.97621   -4615.83424     968.01461
       120.0000    -4795.58469   -4626.02595     169.55874        4.93898   -4620.52659     956.54982
       130.0000    -4798.76557   -4625.03863     173.72694        4.88541   -4627.27898     941.34436
       140.0000    -4795.88554   -4618.56112     177.32442        4.90074   -4625.34620     949.22592
       150.0000    -4791.99647   -4620.42700     171.56948        4.93355   -4621.21080     950.41614
       160.0000    -4793.43116   -4619.54162     173.88953        4.92800   -4621.91122     952.45057
       170.0000    -4786.26573   -4610.53700     175.72873        4.91494   -4623.55725     948.03005
       180.0000    -4795.52778   -4617.33255     178.19523        4.97190   -4616.37793     963.23133
       190.0000    -4797.99942   -4624.76255     173.23686        4.89883   -4625.58749     947.69854
       200.0000    -4792.71768   -4616.19786     176.51982        4.97233   -4616.32338     955.91653
       210.0000    -4791.31065   -4618.11955     173.19110        4.93913   -4620.50805     953.10424
       220.0000    -4792.14890   -4622.74627     169.40264        4.93728   -4620.74064     957.95222
       230.0000    -4803.06946   -4626.75040     176.31906        4.91711   -4623.28283     945.41533
       240.0000    -4803.17130   -4635.13226     168.03904        4.83868   -4633.16838     929.90662
       250.0000    -4798.67296   -4622.30076     176.37220        4.88375   -4627.48803     941.99265
       260.0000    -4796.08912   -4617.07948     179.00965        4.93433   -4621.11251     954.24603
       270.0000    -4790.43377   -4616.72401     173.70976        4.91202   -4623.92536     951.65385
       280.0000    -4791.44617   -4618.80032     172.64585        4.98552   -4614.66106     961.13885
       290.0000    -4809.95248   -4630.99066     178.96182        4.93977   -4620.42772     958.87840
       300.0000    -4791.95031   -4622.37788     169.57243        4.89574   -4625.97649     950.84627
       310.0000    -4789.96009   -4610.28647     179.67362        4.97451   -4616.04845     966.37744
       320.0000    -4787.11872   -4617.65093     169.46779        4.91402   -4623.67330     952.16402
       330.0000    -4802.28759   -4623.87703     178.41056        4.93261   -4621.32933     955.40966
       340.0000    -4803.60177   -4630.47834     173.12342        4.87565   -4628.50948     941.65868
       350.0000    -4811.26385   -4634.48912     176.77473        4.84648   -4632.18587     934.42023
       360.0000    -4800.00373   -4630.15703     169.84671        4.86337   -4630.05720     932.74682
       370.0000    -4806.64807   -4633.56339     173.08468        4.84261   -4632.67379     937.34217
       380.0000    -4809.19177   -4635.44664     173.74513        4.80605   -4637.28133     927.80087
       390.0000    -4796.14969   -4627.32756     168.82213        4.85529   -4631.07506     939.82039
       400.0000    -4798.15445   -4624.53372     173.62072        4.90347   -4625.00262     949.43355
       410.0000    -4801.39537   -4628.08158     173.31379        4.92772   -4621.94641     949.52223
       420.0000    -4785.76877   -4614.11151     171.65726        4.96337   -4617.45299     961.06915
       430.0000    -4791.90867   -4610.49269     181.41598        4.98672   -4614.51009     962.89223
       440.0000    -4790.09570   -4608.81331     181.28239        4.97559   -4615.91307     968.61403
       450.0000    -4798.38522   -4615.58512     182.80010        4.99750   -4613.15164     966.67266
       460.0000    -4795.40512   -4625.81123     169.59389        4.92850   -4621.84827     951.12734
       470.0000    -4805.76893   -4632.79012     172.97882        4.86136   -4630.30967     939.32046
       480.0000    -4793.67348   -4626.57484     167.09863        4.91852   -4623.10592     954.65403
       490.0000    -4801.91305   -4630.55055     171.36250        4.91650   -4623.35982     943.15489
       500.0000    -4788.46494   -4612.60946     175.85548        4.97507   -4615.97811     960.50275
       510.0000    -4792.44586   -4618.29832     174.14754        4.96303   -4617.49567     959.95141
